"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79"
"K",77,77,77,77,77,78,78,78,78,78,79,80,85,87,87,88,89,93,92,98,101,98,99,96,93,108,109,108,114,103,78,71,69,68,69,72,71,74,72,74,59,59,61,55,53,56,56,57,55,57,56,52,52,49,48,51,50,48,48,40,25,21,20,18,16,10,8,8,5,4,3,3,2,2,2,2,3,2,2
"IncDrugs",371,371,371,371,371,384,384,384,383,384,376,388,391,391,387,390,390,390,394,394,404,403,404,393,387,404,408,406,408,388,321,307,299,293,294,291,288,288,287,287,243,234,234,218,217,218,214,215,212,209,206,194,195,187,186,184,170,166,167,151,117,108,101,87,74,43,39,36,30,24,20,19,15,14,13,13,14,13,13
"EnrichedClusters",4,4,4,4,4,5,5,5,5,5,4,5,12,12,12,11,12,10,11,6,14,11,11,11,8,8,6,3,9,10,7,5,4,5,3,7,1,3,1,1,1,1,3,3,3,4,3,3,3,3,5,7,6,6,6,7,6,4,5,4,3,3,4,3,3,1,1,1,1,1,1,1,0,0,0,0,0,1,1
"Percentage",5.19,5.19,5.19,5.19,5.19,6.41,6.41,6.41,6.41,6.41,5.06,6.25,14.12,13.79,13.79,12.5,13.48,10.75,11.96,6.12,13.86,11.22,11.11,11.46,8.6,7.41,5.5,2.78,7.89,9.71,8.97,7.04,5.8,7.35,4.35,9.72,1.41,4.05,1.39,1.35,1.69,1.69,4.92,5.45,5.66,7.14,5.36,5.26,5.45,5.26,8.93,13.46,11.54,12.24,12.5,13.73,12,8.33,10.42,10,12,14.29,20,16.67,18.75,10,12.5,12.5,20,25,33.33,33.33,0,0,0,0,0,50,50
"EnrichedClustersDT",7,7,7,7,7,8,8,9,9,8,7,8,13,14,14,15,16,17,18,19,19,17,17,16,8,19,21,21,23,23,18,11,10,11,10,13,13,14,11,9,8,10,12,11,11,9,7,8,8,8,6,6,4,3,3,2,2,2,2,2,2,2,3,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"PercentageDT",9.09,9.09,9.09,9.09,9.09,10.26,10.26,11.54,11.54,10.26,8.86,10,15.29,16.09,16.09,17.05,17.98,18.28,19.57,19.39,18.81,17.35,17.17,16.67,8.6,17.59,19.27,19.44,20.18,22.33,23.08,15.49,14.49,16.18,14.49,18.06,18.31,18.92,15.28,12.16,13.56,16.95,19.67,20,20.75,16.07,12.5,14.04,14.55,14.04,10.71,11.54,7.69,6.12,6.25,3.92,4,4.17,4.17,5,8,9.52,15,16.67,18.75,10,12.5,12.5,20,25,33.33,33.33,0,0,0,0,0,0,0
"Pval_ATC",0.0152270563134264,0.0152270563134264,0.0152270563134264,0.0152270563134264,0.0501171064632318,0.00319423495499319,0.00319423495499319,0.00319423495499319,0.00890625175438479,0.00319423495499319,0.0515857520301128,0.00765736034038876,0.0183707869009523,0.0149695223481269,0.0128857372977781,0.0318264493572727,0.0179889827745803,0.0231408360434477,5.24283899717601e-08,6.17766710657966e-05,2.81394380490958e-09,4.31251707322149e-11,5.87785514121591e-13,3.52076070443884e-12,2.85707939631502e-09,5.88369037524474e-05,0.000782880848419,9.15139795732249e-05,0.00017594375739883,0.0011141138945511,0.000158499579942166,0.00890444059621728,0.0143346227705909,1.71410746724008e-05,0.00546821992084543,0.00107239428675178,0.0332498063574189,0.0274631820598778,0.0335866583109415,0.0586805256757623,0.00447967791605294,0.0119952489833775,0.018234945104842,0.000231790359768674,5.96773754912769e-05,0.00791464744741325,0.0412579209616233,0.00181189817992745,0.00040219722215152,0.00238130130135407,0.0129946624048412,0.00910668512155543,0.0379131488222961,0.0485625022765819,0.00720806222538313,0.0286443951672303,0.0126756933430352,0.00532344546806731,0.0352558651384368,0.00587300022003263,0.00838280049624886,0.0484209665760071,0.00838280049624886,0.00417148941370369,0.00317998367318847,0.0539920671539055,0.0539920671539055,0.0539920671539055,0.0539920671539055,0.0132016839951992,0.171602117367139,0.35445750357169,0.48697061679099,0.48697061679099,0.48697061679099,0.48697061679099,0.283738348491719,0.283738348491719,0.283738348491719
"Pval_DT",8.62016009121662e-08,8.62016009121662e-08,8.62016009121662e-08,8.62016009121662e-08,3.44905501575654e-07,7.80579200245216e-12,7.80579200245216e-12,7.80579200245216e-12,4.1376120971936e-10,7.80579200245216e-12,3.62741530819445e-07,4.40113489574101e-10,1.63034447306007e-07,5.02437193633801e-08,1.10081895720628e-08,1.08559566947148e-08,2.28577549351949e-09,1.7729461157109e-09,7.72428069354964e-19,6.26524534256515e-07,1.12475069639312e-13,5.92998649901429e-16,5.25198763195341e-19,3.65257384609927e-17,1.04557845185145e-11,3.58467046862329e-09,3.11791964559884e-09,8.05184270704196e-11,5.41087984022348e-12,9.22752000110041e-10,2.31492980775809e-08,3.11207557424436e-07,2.19884989366037e-07,1.71752570501085e-10,3.60675650762898e-08,7.7429111261959e-08,2.3313682959999e-10,8.76366338144641e-08,4.06831898242517e-08,1.23549834109292e-06,1.70104336164759e-09,1.22115980263025e-08,2.97013548284864e-06,3.97822194890395e-08,4.93293003353827e-10,1.34085946188339e-06,0.000179848688777231,4.55255664681951e-05,5.21977850973285e-05,8.7378341836416e-05,4.04858957790273e-08,1.68101550054728e-08,0.000253394456332605,0.000922962200065087,1.32218514431576e-07,2.34509901354961e-07,7.8156858410973e-08,3.32309964640573e-08,2.75057407956341e-06,7.92003216563246e-07,5.97027350872801e-07,1.72283918669979e-06,1.15197751877229e-07,7.8156858410973e-08,3.89667543941738e-10,3.14658198168091e-05,3.14658198168091e-05,3.14658198168091e-05,3.14658198168091e-05,3.14658198168091e-05,0.0395948427777367,0.0395948427777367,1,1,1,1,1,1,1
"ARIndex",0.233425845485673,0.233425845485673,0.233425845485673,0.233425845485673,0.221520422887103,0.215195145982187,0.215195145982187,0.215195145982187,0.214621151526369,0.215195145982187,0.220605444381835,0.214135071010538,0.206115899015822,0.206322746196467,0.218753104490611,0.218896127726831,0.218460070208485,0.217265337903813,0.265128900033391,0.231570387018586,0.265291837975759,0.294273476297934,0.315371839125138,0.313124611462765,0.338523329720264,0.291303411918884,0.286193419157765,0.290643099312874,0.285974914953608,0.285011043457586,0.343393432695604,0.374239220995092,0.370760548031548,0.382548288245816,0.379327711302415,0.370958713377514,0.374906182711935,0.389492698771415,0.381020712275197,0.373879759877541,0.392717455961414,0.365272466528222,0.36588491619988,0.358538235680912,0.400217150388613,0.351341110538223,0.354532116832831,0.35066335415179,0.348641661553433,0.355997728950915,0.358734015468801,0.365257130613427,0.346463159679836,0.420570766857706,0.412666559810641,0.459320555292956,0.511486169908925,0.531948103444543,0.51289438008252,0.579445416770594,0.616311676423009,0.589106292966684,0.570651831508407,0.643445333289674,0.614465237639383,0.698840008754651,0.638312752704623,0.657777777777778,0.791730788960706,0.84390243902439,0.840336134453782,0.826097160291012,0.754716981132076,0.912162162162162,1,1,0.646258503401361,0.796875,0.796875
"Overlap_ATC",0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0
"Overlap_DT",0.304347826086957,0.304347826086957,0.304347826086957,0.304347826086957,0.260869565217391,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.260869565217391,0.478260869565217,0.521739130434783,0.521739130434783,0.521739130434783,0.478260869565217,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.478260869565217,0.478260869565217,0.391304347826087,0.434782608695652,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.434782608695652,0.478260869565217,0.434782608695652,0.391304347826087,0.434782608695652,0.347826086956522,0.391304347826087,0.434782608695652,0.391304347826087,0.434782608695652,0.391304347826087,0.391304347826087,0.434782608695652,0.391304347826087,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.173913043478261,0.173913043478261,0.173913043478261,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0,0,0,0,0,0,0
