"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150"
"K",2,5,7,12,13,15,19,22,29,32,32,33,34,35,35,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,38,38,39,39,41,41,41,41,42,42,43,44,45,45,45,46,47,47,47,47,48,48,49,49,49,50,51,53,53,53,54,54,54,56,57,57,57,57,57,58,58,58,58,58,58,58,60,60,60,62,62,63,64,65,66,66,66,67,68,68,68,69,71,71,72,73,73,76,77,80,83,85,85,85,87,94,94,96,98,102,104,105,106,107,108,109,115,115,116,117,125,129,129,130,134,135,141,145,152,157,160,162,170,179,186,195,206,218,230,254,263,291,312,351,382,413,451,486,514
"IncDrugs",1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1308,1308,1308,1307,1307,1306,1304,1300,1297,1296,1290,1283,1274,1252,1248,1227,1207,1175,1140,1106,1064,1032,992
"EnrichedClusters",0,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,2,2,2,3,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,3,5,3,4,3,3,3,3,5,3
"Percentage",0,20,14.29,8.33,7.69,6.67,10.53,9.09,10.34,9.38,9.38,9.09,8.82,8.57,8.57,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.11,8.11,8.11,8.11,8.11,8.11,8.11,7.89,7.89,7.69,7.69,7.32,7.32,7.32,7.32,7.14,7.14,6.98,6.82,6.67,6.67,6.67,6.52,8.51,8.51,8.51,8.51,8.33,8.33,8.16,8.16,8.16,8,7.84,7.55,7.55,7.55,7.41,7.41,7.41,7.14,7.02,7.02,7.02,7.02,7.02,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5,5,5,6.45,6.45,6.35,6.25,4.62,4.55,4.55,4.55,4.48,2.94,2.94,2.94,4.35,5.63,4.23,5.56,5.48,5.48,3.95,3.9,3.75,3.61,3.53,3.53,3.53,3.45,3.19,3.19,3.12,3.06,2.94,2.88,1.9,1.89,1.87,1.85,1.83,1.74,1.74,1.72,1.71,1.6,1.55,1.55,1.54,1.49,1.48,1.43,1.39,1.32,1.29,1.27,1.26,1.21,1.18,1.72,1.65,1.6,1.56,2.05,1.52,2.48,1.44,1.9,1.38,1.41,1.43,1.46,2.39,1.52
"EnrichedClustersDT",0,1,1,4,6,7,8,11,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,16,16,16,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,13,13,13,13,13,14,14,15,15,15,15,17,16,16,16,16,18,16,18,18,18,17,17,17,17,18,18,18,19,20,20,20,19,18,17,17,17,17,17,17,18,18,17,17,18,17,17,18,17,16,16,15,15,16,16,17,17,17,18,20,19,17,16,15,14,15,15,15,13,14,15,14,13
"PercentageDT",0,20,14.29,33.33,46.15,46.67,42.11,50,41.38,46.88,46.88,45.45,44.12,42.86,42.86,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,37.84,37.84,37.84,37.84,37.84,37.84,37.84,36.84,36.84,35.9,35.9,34.15,34.15,34.15,34.15,33.33,33.33,32.56,31.82,31.11,31.11,31.11,30.43,29.79,29.79,29.79,29.79,29.17,29.17,28.57,28.57,28.57,30,29.41,30.19,30.19,30.19,27.78,27.78,27.78,26.79,26.32,26.32,26.32,26.32,26.32,24.14,24.14,24.14,24.14,24.14,24.14,24.14,21.67,21.67,21.67,20.97,20.97,22.22,21.88,23.08,22.73,22.73,22.73,25.37,23.53,23.53,23.53,23.19,25.35,22.54,25,24.66,24.66,22.37,22.08,21.25,20.48,21.18,21.18,21.18,21.84,21.28,21.28,20.83,19.39,17.65,16.35,16.19,16.04,15.89,15.74,15.6,15.65,15.65,14.66,14.53,14.4,13.18,13.18,13.85,12.69,11.85,11.43,10.42,9.93,10.32,10.13,10.69,10.3,10,10.34,10.99,10.16,8.85,8.21,7.61,6.93,7.18,7.14,6.91,6.1,6.67,7.28,6.7,6.6
"Pval_ATC",5.88187451481205e-05,0.00464559141706423,6.82027321444323e-08,6.64330668822737e-10,2.21675502334339e-09,5.21543735730599e-15,2.82677687677221e-10,2.2357466592134e-09,1.41073067697753e-14,5.10723515738545e-13,5.10723515738545e-13,5.10723515738545e-13,1.14194312236368e-14,7.19342881160714e-15,7.19342881160714e-15,1.80779378891119e-14,1.80779378891119e-14,1.80779378891119e-14,1.80779378891119e-14,1.80779378891119e-14,1.80779378891119e-14,1.80779378891119e-14,1.80779378891119e-14,1.80779378891119e-14,1.52000361862564e-14,1.52000361862564e-14,1.52000361862564e-14,1.52000361862564e-14,1.52000361862564e-14,1.52000361862564e-14,1.52000361862564e-14,3.38730492898776e-14,3.38730492898776e-14,3.97741760104875e-14,3.97741760104875e-14,6.78787344124948e-14,6.78787344124948e-14,6.78787344124948e-14,6.78787344124948e-14,3.98559659404775e-14,3.98559659404775e-14,9.34880528925888e-16,2.05354243658581e-15,1.02709034502768e-15,1.02709034502768e-15,1.02709034502768e-15,1.09825867332086e-15,3.60224651208699e-13,3.60224651208699e-13,3.60224651208699e-13,3.60224651208699e-13,4.58030346283716e-13,4.58030346283716e-13,4.53228763709169e-14,4.53228763709169e-14,4.53228763709169e-14,1.2574841054716e-13,1.2574841054716e-13,3.44617365317088e-13,3.44617365317088e-13,2.22022402422545e-13,3.45935813856849e-13,3.45935813856849e-13,3.45935813856849e-13,3.4909492240589e-13,2.75544625151382e-13,2.75544625151382e-13,3.26389212416756e-13,3.26389212416756e-13,3.26389212416756e-13,1.12216255170969e-13,1.12216255170969e-13,1.12216255170969e-13,1.12216255170969e-13,1.12216255170969e-13,1.12216255170969e-13,1.12216255170969e-13,2.35947108785357e-14,2.35947108785357e-14,2.35947108785357e-14,5.19390476882389e-17,5.19390476882389e-17,2.28942492160175e-17,1.512749149521e-17,9.2819091853356e-15,8.20887844348458e-15,8.20887844348458e-15,8.20887844348458e-15,1.12398832186602e-16,1.04477362676084e-18,1.04477362676084e-18,1.04477362676084e-18,1.4468397264834e-18,4.82580674046962e-18,7.5612812581694e-20,1.05794974757982e-18,1.63970694476918e-19,1.63970694476918e-19,6.89626404050988e-18,8.39190353464676e-18,6.34245582905297e-16,2.24192318134064e-15,8.367413363866e-15,8.367413363866e-15,8.367413363866e-15,9.59233057446479e-14,4.55238212858899e-15,4.55238212858899e-15,2.83588830836161e-15,9.87964676166566e-16,1.95961891691304e-16,2.82375359110298e-16,4.09157951615639e-16,1.5707960248613e-16,3.30163394096549e-16,6.25376195615854e-15,6.32955597052225e-15,6.8605381394081e-15,6.8605381394081e-15,1.23569387415749e-15,7.89196240945408e-17,9.9208788979789e-17,3.09311657116814e-15,9.62871617081376e-16,7.42506332296058e-16,2.08251515671156e-12,5.39161143694964e-12,8.64552660415409e-12,1.05639413930361e-11,2.49394348851736e-12,2.6119703778744e-12,5.27898336637496e-13,1.4471887549535e-13,4.65833861104591e-14,2.17917766275203e-14,5.56097355339952e-15,4.97214657716214e-16,2.47733823126217e-16,2.70930928042513e-17,5.60975939872312e-17,1.85753115283397e-17,4.32126451396463e-18,1.4428711103229e-16,1.11779176761302e-23,2.46674307242019e-29,2.81812557813526e-29,1.62872852940952e-32,1.26258702387853e-33,3.1470317043385e-34,5.82275071290493e-31
"Pval_DT",0.000738710221201409,9.32268674307736e-12,2.10554188906907e-13,3.77955934290235e-18,2.75400835984984e-21,1.73636798259792e-24,2.28371407308678e-28,1.34983321221067e-28,1.63649872141178e-35,5.51234968157358e-38,5.51234968157358e-38,5.51234968157358e-38,1.8519659378992e-38,7.04630481119958e-39,7.04630481119958e-39,3.42412982843255e-40,3.42412982843255e-40,3.42412982843255e-40,3.42412982843255e-40,3.42412982843255e-40,3.42412982843255e-40,3.42412982843255e-40,3.42412982843255e-40,3.42412982843255e-40,3.70679082767839e-40,3.70679082767839e-40,3.70679082767839e-40,3.70679082767839e-40,3.70679082767839e-40,3.70679082767839e-40,3.70679082767839e-40,8.31221762616172e-41,8.31221762616172e-41,1.72875374838098e-42,1.72875374838098e-42,4.27927387287642e-43,4.27927387287642e-43,4.27927387287642e-43,4.27927387287642e-43,3.35712569298679e-43,3.35712569298679e-43,2.57128411901113e-45,1.15130242036336e-45,5.30693762708797e-45,5.30693762708797e-45,5.30693762708797e-45,3.15520645137469e-46,1.22122007782309e-36,1.22122007782309e-36,1.22122007782309e-36,1.22122007782309e-36,1.52671298908273e-36,1.52671298908273e-36,8.53491413606978e-36,8.53491413606978e-36,8.53491413606978e-36,2.12950489644218e-34,2.12950489644218e-34,4.73862852371362e-35,4.73862852371362e-35,3.17617086232745e-35,9.77590013476983e-35,9.77590013476983e-35,9.77590013476983e-35,9.71754665587978e-36,5.98684855794956e-36,5.98684855794956e-36,5.98684855794956e-36,5.98684855794956e-36,5.98684855794956e-36,1.05460392077551e-36,1.05460392077551e-36,1.05460392077551e-36,1.05460392077551e-36,1.05460392077551e-36,1.05460392077551e-36,1.05460392077551e-36,7.00887379093139e-36,7.00887379093139e-36,7.00887379093139e-36,1.2313078345756e-36,1.2313078345756e-36,1.888734033884e-37,1.48984585097804e-37,1.33360397262553e-35,4.81788497507652e-36,4.81788497507652e-36,4.81788497507652e-36,1.01239430852621e-36,7.1096677196295e-37,7.1096677196295e-37,7.1096677196295e-37,3.12131861767699e-37,8.97824969860154e-39,1.38189626138868e-34,2.23785954464995e-35,1.24868626355249e-35,1.24868626355249e-35,4.37793996106708e-36,2.40536424089746e-36,4.19250886212893e-36,4.32289819635511e-36,6.63761635086432e-38,6.63761635086432e-38,6.63761635086432e-38,5.92246077295849e-36,4.43825337645275e-39,4.43825337645275e-39,6.26601459121724e-40,1.59374244442176e-40,1.59121620240817e-39,3.7793541210423e-39,3.08836531495181e-39,9.10021973870251e-40,4.91019217082792e-39,2.72841178283344e-37,2.46776641687388e-37,5.64364017170528e-38,5.64364017170528e-38,1.71160322930724e-37,3.02434279593871e-38,1.05847392340046e-40,1.17215679821918e-40,1.95323821987443e-40,3.19973406782762e-41,4.12777298948823e-35,6.82534811754993e-35,2.3524492755846e-36,4.28335429127152e-36,1.19916731378425e-35,8.10339728852742e-37,1.00263438186627e-37,1.30010580178337e-38,1.69741182273805e-39,1.71032828328301e-40,4.12469623817296e-41,4.77198243860857e-43,4.52123752540913e-43,2.44346016556415e-42,2.45089187421795e-42,1.65649529615505e-42,1.75195354496398e-41,8.4998849763971e-45,1.95060581042474e-45,2.54531967305342e-46,1.51709299357425e-46,5.45018639676379e-48,1.29371477385218e-51,6.0149453260595e-46,1.23797210906559e-44
"ARIndex",0.0241072385512043,0.0831172253182495,0.136584620686342,0.195855115162257,0.207886768130116,0.236204783698433,0.301110262946024,0.335913153319187,0.451381534212064,0.479703399056076,0.479703399056076,0.481209800469618,0.488888523024284,0.488408301709746,0.488408301709746,0.495987991746417,0.495987991746417,0.495987991746417,0.495987991746417,0.495987991746417,0.495987991746417,0.495987991746417,0.495987991746417,0.495987991746417,0.503215355839119,0.503215355839119,0.503215355839119,0.503215355839119,0.503215355839119,0.503215355839119,0.503215355839119,0.512487505506195,0.512487505506195,0.520579979668907,0.520579979668907,0.524913214815576,0.524913214815576,0.524913214815576,0.524913214815576,0.526863755796753,0.526863755796753,0.5488759264672,0.552546594559807,0.558575497021687,0.558575497021687,0.558575497021687,0.569420952934307,0.595955349263123,0.595955349263123,0.595955349263123,0.595955349263123,0.600791628805289,0.600791628805289,0.61093661278231,0.61093661278231,0.61093661278231,0.639314410240931,0.643974853820945,0.654139228278441,0.654139228278441,0.652926532773009,0.658088146662917,0.658088146662917,0.658088146662917,0.667785367305809,0.674397783732553,0.674397783732553,0.673984708443995,0.673984708443995,0.673984708443995,0.680357739247056,0.680357739247056,0.680357739247056,0.680357739247056,0.680357739247056,0.680357739247056,0.680357739247056,0.689551147833458,0.689551147833458,0.689551147833458,0.714604544414673,0.714604544414673,0.720938025987441,0.722940285243776,0.750675247335646,0.753978852008438,0.753978852008438,0.753978852008438,0.768528295412908,0.785772821159182,0.785772821159182,0.785772821159182,0.790604731791567,0.804854684567979,0.805008175566159,0.816379094620934,0.821289699391405,0.821289699391405,0.84318792294941,0.849304204246094,0.861634387665667,0.878134906784765,0.890846416017544,0.890846416017544,0.890846416017544,0.904830718498442,0.919169110614681,0.919169110614681,0.92899979962218,0.938642295842995,0.974657247219334,0.982463815168077,0.982924584990987,1,0.982903314854925,0.974179241536826,0.97010516181308,0.93541907795612,0.93541907795612,0.930600709292699,0.915897490918717,0.883906285861486,0.879968649757376,0.869942338140339,0.866457159182843,0.838587218086602,0.833915130375901,0.808412910445397,0.791707800946335,0.757136735190994,0.746609027770914,0.722397891469725,0.718064613065325,0.703080123834755,0.683371947923949,0.678063956835636,0.671361385029452,0.654231041488406,0.63294936002674,0.630439445424392,0.622877179016412,0.625001940533411,0.595707584258306,0.560219220177262,0.535040139807193,0.527173031159739,0.514890042319857,0.512082747067263,0.47886908546776,0.461635537429838
"Overlap_ATC",0,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
